"","transactionId","fromCustomerId","fromAccountNo","toCustomerId","toAccountNo","transactionSource","debitCreditIndicator","amount","timeOfTransaction","date","status","chequeId","wireId","onlineId","branchCode","description","tran_cluster"
"6976",4338931,70,14533,452,11254,"Cheque","debit",29678,"02:33:22",2020-07-11,"Completed","3281789",0,"","USA-WA98116","",3
"6977",1086795,70,14533,452,11254,"Cheque","debit",34757,"01:24:52",2020-07-11,"Completed","2351378",0,"","USA-WA98116","",3
"6979",7226857,70,14533,452,11254,"Cheque","debit",33256,"02:47:57",2020-07-11,"Completed","5963725",0,"","USA-WA98116","",3
"6981",8340588,70,14533,452,11254,"Cheque","debit",39408,"03:02:21",2020-07-11,"Completed","5537733",0,"","USA-WA98116","",3
"6985",4323222,70,14533,452,11254,"Cheque","debit",32647,"03:28:56",2020-07-11,"Completed","4947781",0,"","USA-WA98116","",3
"6986",8830793,70,14533,452,11254,"Cheque","debit",26761,"00:06:19",2020-07-11,"Completed","1255789",0,"","USA-WA98116","",3
"6988",3509866,70,14533,452,11254,"Cheque","debit",49692,"03:59:18",2020-07-11,"Completed","6980003",0,"","USA-WA98116","",3
"6989",4661313,70,14533,452,11254,"Cheque","debit",41675,"02:50:32",2020-07-11,"Completed","440652",0,"","USA-WA98116","",3
"6994",1563044,70,14533,452,11254,"Cheque","debit",40953,"03:42:18",2020-07-11,"Completed","3087720",0,"","USA-WA98116","",3
"6998",2872999,70,14533,452,11254,"Cheque","debit",32270,"00:21:01",2020-07-11,"Completed","1069774",0,"","USA-WA98116","",3
"7003",6470500,70,14533,452,11254,"Cheque","debit",25337,"03:42:15",2020-07-11,"Completed","9051915",0,"","USA-WA98116","",3
"7004",7603123,70,14533,452,11254,"Cheque","debit",23484,"03:05:40",2020-07-11,"Completed","6010074",0,"","USA-WA98116","",3
"7014",210416,70,14533,452,11254,"Cheque","debit",40493,"02:55:24",2020-07-11,"Completed","2422260",0,"","USA-WA98116","",3
"7016",1276408,70,14533,452,11254,"Cheque","debit",43201,"00:35:16",2020-07-11,"Completed","109081",0,"","USA-WA98116","",3
"7022",2065416,70,14533,452,11254,"Cheque","debit",25878,"00:55:25",2020-07-11,"Completed","2745960",0,"","USA-WA98116","",3
"7029",3862208,70,14533,452,11254,"Cheque","debit",45402,"00:24:16",2020-07-11,"Completed","6409293",0,"","USA-WA98116","",3
"7032",6994026,70,14533,452,11254,"Cheque","debit",38334,"01:02:19",2020-07-11,"Completed","583033",0,"","USA-WA98116","",3
"7033",1376760,70,14533,452,11254,"Cheque","debit",29783,"03:30:27",2020-07-11,"Completed","3663865",0,"","USA-WA98116","",3
"7034",8975337,70,14533,452,11254,"Cheque","debit",45893,"03:39:50",2020-07-11,"Completed","6986584",0,"","USA-WA98116","",3
"7036",3895157,70,14533,452,11254,"Cheque","debit",40398,"03:37:34",2020-07-11,"Completed","4589367",0,"","USA-WA98116","",3
"7038",9334274,70,14533,452,11254,"Cheque","debit",27650,"01:39:47",2020-07-11,"Completed","8917151",0,"","USA-WA98116","",3
"7040",5117683,70,14533,452,11254,"Cheque","debit",33011,"02:34:54",2020-07-11,"Completed","2421090",0,"","USA-WA98116","",3
"7053",387458,70,14533,452,11254,"Cheque","debit",41298,"02:01:45",2020-07-11,"Completed","7100009",0,"","USA-WA98116","",3
"7054",8050462,70,14533,452,11254,"Cheque","debit",25773,"01:25:31",2020-07-11,"Completed","8896223",0,"","USA-WA98116","",3
"7061",7597535,70,14533,452,11254,"Cheque","debit",39499,"02:00:24",2020-07-11,"Completed","7638845",0,"","USA-WA98116","",3
"7064",1250396,70,14533,452,11254,"Cheque","debit",33710,"01:00:08",2020-07-11,"Completed","7680426",0,"","USA-WA98116","",3
"7074",8310638,70,14533,452,11254,"Cheque","debit",31583,"03:27:11",2020-07-11,"Completed","6050418",0,"","USA-WA98116","",3
"7078",8087492,70,14533,452,11254,"Cheque","debit",37484,"02:02:30",2020-07-11,"Completed","5330042",0,"","USA-WA98116","",3
"7082",9568118,70,14533,452,11254,"Cheque","debit",23319,"02:18:05",2020-07-11,"Completed","8691895",0,"","USA-WA98116","",3
"7085",3218278,70,14533,452,11254,"Cheque","debit",48795,"01:24:39",2020-07-11,"Completed","7656130",0,"","USA-WA98116","",3
"7089",2335266,70,14533,452,11254,"Cheque","debit",41371,"01:40:38",2020-07-11,"Completed","5663983",0,"","USA-WA98116","",3
"7091",9641817,70,14533,452,11254,"Cheque","debit",29241,"03:48:33",2020-07-11,"Completed","4347101",0,"","USA-WA98116","",3
"7093",7502541,70,14533,452,11254,"Cheque","debit",48427,"03:58:58",2020-07-11,"Completed","7944451",0,"","USA-WA98116","",3
"7096",9056201,4,63285,403,28987,"Cheque","debit",27778,"02:51:05",2020-07-11,"Completed","8571171",0,"","USA-GA30907","",3
"7102",2188996,4,63285,403,28987,"Cheque","debit",40583,"02:58:27",2020-07-11,"Completed","2371741",0,"","USA-GA30907","",3
"7105",4520883,4,63285,403,28987,"Cheque","debit",49101,"02:45:57",2020-07-11,"Completed","8572720",0,"","USA-GA30907","",3
"7114",2655516,4,63285,403,28987,"Cheque","debit",47106,"02:53:09",2020-07-11,"Completed","1635924",0,"","USA-GA30907","",3
"7120",422790,4,63285,403,28987,"Cheque","debit",43029,"00:15:53",2020-07-11,"Completed","6903968",0,"","USA-GA30907","",3
"7121",2898663,4,63285,403,28987,"Cheque","debit",39808,"01:49:44",2020-07-11,"Completed","4461450",0,"","USA-GA30907","",3
"7124",7309930,4,63285,403,28987,"Cheque","debit",49667,"01:27:05",2020-07-11,"Completed","7906146",0,"","USA-GA30907","",3
"7125",5598404,4,63285,403,28987,"Cheque","debit",36676,"03:29:50",2020-07-11,"Completed","3291705",0,"","USA-GA30907","",3
"7130",5059652,4,63285,403,28987,"Cheque","debit",27050,"01:28:48",2020-07-11,"Completed","313396",0,"","USA-GA30907","",3
"7135",6742784,4,63285,403,28987,"Cheque","debit",32403,"02:39:58",2020-07-11,"Completed","7340469",0,"","USA-GA30907","",3
"7137",5109910,4,63285,403,28987,"Cheque","debit",25009,"03:38:01",2020-07-11,"Completed","7892252",0,"","USA-GA30907","",3
"7138",4111005,4,63285,403,28987,"Cheque","debit",24412,"02:02:45",2020-07-11,"Completed","1579484",0,"","USA-GA30907","",3
"7139",5719557,4,63285,403,28987,"Cheque","debit",32905,"02:36:55",2020-07-11,"Completed","2667339",0,"","USA-GA30907","",3
"7140",5041274,4,63285,403,28987,"Cheque","debit",39965,"01:34:38",2020-07-11,"Completed","4948899",0,"","USA-GA30907","",3
"7141",2097980,4,63285,403,28987,"Cheque","debit",24056,"02:25:58",2020-07-11,"Completed","7824123",0,"","USA-GA30907","",3
"7144",8172894,4,63285,403,28987,"Cheque","debit",40639,"03:03:09",2020-07-11,"Completed","5249618",0,"","USA-GA30907","",3
"7145",5267314,4,63285,403,28987,"Cheque","debit",38037,"02:07:36",2020-07-11,"Completed","5700779",0,"","USA-GA30907","",3
"7149",4239839,4,63285,403,28987,"Cheque","debit",22863,"00:32:22",2020-07-11,"Completed","6099285",0,"","USA-GA30907","",3
"7150",5689949,4,63285,403,28987,"Cheque","debit",44460,"01:31:19",2020-07-11,"Completed","9262999",0,"","USA-GA30907","",3
"7155",8942205,4,63285,403,28987,"Cheque","debit",49171,"02:06:19",2020-07-11,"Completed","3820323",0,"","USA-GA30907","",3
"7159",9015963,4,63285,403,28987,"Cheque","debit",35004,"02:02:07",2020-07-11,"Completed","8911356",0,"","USA-GA30907","",3
"7161",6880474,4,63285,403,28987,"Cheque","debit",47818,"00:23:40",2020-07-11,"Completed","4910640",0,"","USA-GA30907","",3
"7163",5317616,4,63285,403,28987,"Cheque","debit",31430,"00:02:13",2020-07-11,"Completed","9974640",0,"","USA-GA30907","",3
"7164",8706270,4,63285,403,28987,"Cheque","debit",36268,"01:57:05",2020-07-11,"Completed","1099597",0,"","USA-GA30907","",3
"7168",5481801,4,63285,403,28987,"Cheque","debit",47793,"02:58:17",2020-07-11,"Completed","2639810",0,"","USA-GA30907","",3
"7172",7457533,4,63285,403,28987,"Cheque","debit",32770,"00:39:17",2020-07-11,"Completed","9574243",0,"","USA-GA30907","",3
"7173",8259696,4,63285,403,28987,"Cheque","debit",31340,"01:54:12",2020-07-11,"Completed","5581769",0,"","USA-GA30907","",3
"7176",1031455,4,63285,403,28987,"Cheque","debit",49733,"01:12:48",2020-07-11,"Completed","6257885",0,"","USA-GA30907","",3
"7183",4462986,4,63285,403,28987,"Cheque","debit",23487,"01:24:40",2020-07-11,"Completed","3140423",0,"","USA-GA30907","",3
"7186",6883131,4,63285,403,28987,"Cheque","debit",42523,"03:25:47",2020-07-11,"Completed","8440067",0,"","USA-GA30907","",3
"7187",2481405,4,63285,403,28987,"Cheque","debit",30991,"00:51:42",2020-07-11,"Completed","7727422",0,"","USA-GA30907","",3
"7190",309466,4,63285,403,28987,"Cheque","debit",30508,"03:04:01",2020-07-11,"Completed","8901700",0,"","USA-GA30907","",3
"7191",5707436,4,63285,403,28987,"Cheque","debit",23745,"00:43:36",2020-07-11,"Completed","2369568",0,"","USA-GA30907","",3
"7192",3974840,4,63285,403,28987,"Cheque","debit",28008,"03:32:39",2020-07-11,"Completed","4942103",0,"","USA-GA30907","",3
"7193",6175167,4,63285,403,28987,"Cheque","debit",25401,"01:52:59",2020-07-11,"Completed","939260",0,"","USA-GA30907","",3
"7197",9210082,4,63285,403,28987,"Cheque","debit",39738,"03:19:54",2020-07-11,"Completed","6912819",0,"","USA-GA30907","",3
"7199",3956679,4,63285,403,28987,"Cheque","debit",34071,"00:11:29",2020-07-11,"Completed","5027895",0,"","USA-GA30907","",3
"7202",9145148,4,63285,403,28987,"Cheque","debit",35889,"00:42:43",2020-07-11,"Completed","2552449",0,"","USA-GA30907","",3
"7204",7883247,4,63285,403,28987,"Cheque","debit",32510,"02:15:17",2020-07-11,"Completed","4314306",0,"","USA-GA30907","",3
"7211",8561204,4,63285,403,28987,"Cheque","debit",27847,"00:27:28",2020-07-11,"Completed","6294938",0,"","USA-GA30907","",3
"7212",2232461,4,63285,403,28987,"Cheque","debit",44029,"02:09:59",2020-07-11,"Completed","5635036",0,"","USA-GA30907","",3
"7215",3342461,4,63285,403,28987,"Cheque","debit",27566,"02:45:53",2020-07-11,"Completed","6834501",0,"","USA-GA30907","",3
"7217",7446068,4,63285,403,28987,"Cheque","debit",43188,"03:23:14",2020-07-11,"Completed","6940478",0,"","USA-GA30907","",3
"7221",9163610,4,63285,403,28987,"Cheque","debit",36502,"03:06:05",2020-07-11,"Completed","574905",0,"","USA-GA30907","",3
"7225",9636280,4,63285,403,28987,"Cheque","debit",46194,"02:46:59",2020-07-11,"Completed","5066675",0,"","USA-GA30907","",3
"7230",6884249,4,63285,403,28987,"Cheque","debit",49800,"01:36:06",2020-07-11,"Completed","2049218",0,"","USA-GA30907","",3
"7232",2250357,4,63285,403,28987,"Cheque","debit",39775,"03:06:35",2020-07-11,"Completed","3797494",0,"","USA-GA30907","",3
"7239",1964555,4,63285,403,28987,"Cheque","debit",30462,"00:36:48",2020-07-11,"Completed","8395831",0,"","USA-GA30907","",3
"7245",9702969,4,63285,403,28987,"Cheque","debit",31645,"02:03:06",2020-07-11,"Completed","5149855",0,"","USA-GA30907","",3
"7249",1247887,4,63285,403,28987,"Cheque","debit",46991,"03:09:54",2020-07-11,"Completed","5476489",0,"","USA-GA30907","",3
"7251",7453534,4,63285,403,28987,"Cheque","debit",29571,"02:59:49",2020-07-11,"Completed","4266000",0,"","USA-GA30907","",3
"7259",6173293,4,63285,403,28987,"Cheque","debit",42903,"00:06:25",2020-07-11,"Completed","6778784",0,"","USA-GA30907","",3
"7260",9733046,4,63285,403,28987,"Cheque","debit",37729,"01:34:23",2020-07-11,"Completed","754350",0,"","USA-GA30907","",3
"7263",9607578,4,63285,403,28987,"Cheque","debit",49395,"01:14:14",2020-07-11,"Completed","1001849",0,"","USA-GA30907","",3
"7266",6159892,4,63285,403,28987,"Cheque","debit",47014,"03:05:13",2020-07-11,"Completed","2917736",0,"","USA-GA30907","",3
"7267",7880514,4,63285,403,28987,"Cheque","debit",22816,"00:51:29",2020-07-11,"Completed","166423",0,"","USA-GA30907","",3
"7269",7104386,4,63285,403,28987,"Cheque","debit",42298,"03:57:56",2020-07-11,"Completed","4171025",0,"","USA-GA30907","",3
"7270",3073374,4,63285,403,28987,"Cheque","debit",46435,"03:10:19",2020-07-11,"Completed","1034246",0,"","USA-GA30907","",3
"7271",9671388,4,63285,403,28987,"Cheque","debit",29876,"01:55:46",2020-07-11,"Completed","1487176",0,"","USA-GA30907","",3
"7276",838165,4,63285,403,28987,"Cheque","debit",29465,"02:13:46",2020-07-11,"Completed","6981377",0,"","USA-GA30907","",3
"7278",3070490,4,63285,403,28987,"Cheque","debit",25774,"01:46:20",2020-07-11,"Completed","4804440",0,"","USA-GA30907","",3
"7279",4335079,4,63285,403,28987,"Cheque","debit",32106,"00:52:58",2020-07-11,"Completed","9499671",0,"","USA-GA30907","",3
"7282",8136062,4,63285,403,28987,"Cheque","debit",27924,"01:54:30",2020-07-11,"Completed","9324389",0,"","USA-GA30907","",3
"7285",3048510,4,63285,403,28987,"Cheque","debit",40836,"01:56:44",2020-07-11,"Completed","838983",0,"","USA-GA30907","",3
"7286",8032154,4,63285,403,28987,"Cheque","debit",40249,"00:43:03",2020-07-11,"Completed","6863450",0,"","USA-GA30907","",3
"7289",8311113,4,63285,403,28987,"Cheque","debit",42549,"03:44:24",2020-07-11,"Completed","280622",0,"","USA-GA30907","",3
"7290",8443094,4,63285,403,28987,"Cheque","debit",34571,"00:16:11",2020-07-11,"Completed","8170144",0,"","USA-GA30907","",3
"7291",6293029,4,63285,403,28987,"Cheque","debit",30941,"00:42:46",2020-07-11,"Completed","4247889",0,"","USA-GA30907","",3
"7292",9994786,4,63285,403,28987,"Cheque","debit",41606,"03:20:54",2020-07-11,"Completed","9977056",0,"","USA-GA30907","",3
"7293",6312890,4,63285,403,28987,"Cheque","debit",45635,"01:41:49",2020-07-11,"Completed","8223426",0,"","USA-GA30907","",3
"7294",1941830,4,63285,403,28987,"Cheque","debit",47342,"02:18:06",2020-07-11,"Completed","1578501",0,"","USA-GA30907","",3
"7302",9459892,4,63285,403,28987,"Cheque","debit",42149,"00:43:08",2020-07-11,"Completed","9132681",0,"","USA-GA30907","",3
"7308",7710515,4,63285,403,28987,"Cheque","debit",29977,"03:49:18",2020-07-11,"Completed","964388",0,"","USA-GA30907","",3
"7317",8547662,4,63285,403,28987,"Cheque","debit",24015,"02:23:42",2020-07-11,"Completed","8134869",0,"","USA-GA30907","",3
"7321",2795070,4,63285,403,28987,"Cheque","debit",34734,"00:24:00",2020-07-11,"Completed","9223820",0,"","USA-GA30907","",3
"7322",3450941,4,63285,403,28987,"Cheque","debit",45791,"01:51:26",2020-07-11,"Completed","1811773",0,"","USA-GA30907","",3
"7324",4610320,4,63285,403,28987,"Cheque","debit",26588,"03:49:26",2020-07-11,"Completed","9382828",0,"","USA-GA30907","",3
"7325",1712042,4,63285,403,28987,"Cheque","debit",26734,"03:56:30",2020-07-11,"Completed","3472268",0,"","USA-GA30907","",3
"7333",2825921,4,63285,403,28987,"Cheque","debit",24600,"00:58:06",2020-07-11,"Completed","3229997",0,"","USA-GA30907","",3
"7335",8695417,4,63285,403,28987,"Cheque","debit",48791,"00:40:01",2020-07-11,"Completed","4096414",0,"","USA-GA30907","",3
"7337",4411369,4,63285,403,28987,"Cheque","debit",35668,"02:16:20",2020-07-11,"Completed","3152400",0,"","USA-GA30907","",3
"7340",8231656,4,63285,403,28987,"Cheque","debit",32144,"02:52:32",2020-07-11,"Completed","5295150",0,"","USA-GA30907","",3
"7341",2452368,4,63285,403,28987,"Cheque","debit",48274,"02:48:02",2020-07-11,"Completed","4420145",0,"","USA-GA30907","",3
"7342",8980964,4,63285,403,28987,"Cheque","debit",23112,"00:35:31",2020-07-11,"Completed","6927708",0,"","USA-GA30907","",3
"7345",171714,4,63285,403,28987,"Cheque","debit",28353,"00:58:38",2020-07-11,"Completed","8700554",0,"","USA-GA30907","",3
"7346",9368377,4,63285,403,28987,"Cheque","debit",34037,"02:33:45",2020-07-11,"Completed","1635921",0,"","USA-GA30907","",3
"7347",6388374,4,63285,403,28987,"Cheque","debit",36620,"02:21:40",2020-07-11,"Completed","9626032",0,"","USA-GA30907","",3
"7350",7710152,4,63285,403,28987,"Cheque","debit",46277,"02:39:33",2020-07-11,"Completed","5324900",0,"","USA-GA30907","",3
"7352",34426,4,63285,403,28987,"Cheque","debit",46728,"00:14:10",2020-07-11,"Completed","1749354",0,"","USA-GA30907","",3
"7353",2598515,4,63285,403,28987,"Cheque","debit",28797,"01:31:21",2020-07-11,"Completed","3969880",0,"","USA-GA30907","",3
"7358",7144298,4,63285,403,28987,"Cheque","debit",43474,"02:19:20",2020-07-11,"Completed","5545060",0,"","USA-GA30907","",3
"7362",9270188,4,63285,403,28987,"Cheque","debit",40233,"01:13:22",2020-07-11,"Completed","5570593",0,"","USA-GA30907","",3
"7363",9634797,4,63285,403,28987,"Cheque","debit",45201,"00:31:42",2020-07-11,"Completed","6788716",0,"","USA-GA30907","",3
"7365",84003,4,63285,403,28987,"Cheque","debit",45790,"01:32:45",2020-07-11,"Completed","8938357",0,"","USA-GA30907","",3
"7366",8509989,4,63285,403,28987,"Cheque","debit",36388,"01:04:39",2020-07-11,"Completed","19143",0,"","USA-GA30907","",3
"7381",7545444,4,63285,403,28987,"Cheque","debit",41021,"02:19:49",2020-07-11,"Completed","146394",0,"","USA-GA30907","",3
"7384",4371667,4,63285,403,28987,"Cheque","debit",34120,"00:03:49",2020-07-11,"Completed","324660",0,"","USA-GA30907","",3
"7387",9529005,4,63285,403,28987,"Cheque","debit",30083,"02:38:26",2020-07-11,"Completed","4760994",0,"","USA-GA30907","",3
"7389",9395675,4,63285,403,28987,"Cheque","debit",43868,"01:01:55",2020-07-11,"Completed","8387273",0,"","USA-GA30907","",3
"7391",7516146,4,63285,403,28987,"Cheque","debit",41500,"00:06:54",2020-07-11,"Completed","5639640",0,"","USA-GA30907","",3
"7397",2136490,4,63285,403,28987,"Cheque","debit",43992,"00:39:04",2020-07-11,"Completed","4429624",0,"","USA-GA30907","",3
"7401",7516902,4,63285,403,28987,"Cheque","debit",39655,"01:27:21",2020-07-11,"Completed","9156113",0,"","USA-GA30907","",3
"7402",3563120,4,63285,403,28987,"Cheque","debit",38128,"00:07:15",2020-07-11,"Completed","9253573",0,"","USA-GA30907","",3
"7406",216034,4,63285,403,28987,"Cheque","debit",42101,"00:24:52",2020-07-11,"Completed","6574381",0,"","USA-GA30907","",3
"7413",2543992,4,63285,403,28987,"Cheque","debit",36184,"00:36:35",2020-07-11,"Completed","3341343",0,"","USA-GA30907","",3
"7416",1567338,4,63285,403,28987,"Cheque","debit",30753,"02:52:41",2020-07-11,"Completed","912038",0,"","USA-GA30907","",3
"7418",2831523,4,63285,403,28987,"Cheque","debit",43184,"01:33:55",2020-07-11,"Completed","6995134",0,"","USA-GA30907","",3
"7422",5493318,4,63285,403,28987,"Cheque","debit",43620,"00:12:01",2020-07-11,"Completed","4246188",0,"","USA-GA30907","",3
"7428",6463418,4,63285,403,28987,"Cheque","debit",29552,"02:55:16",2020-07-11,"Completed","5003791",0,"","USA-GA30907","",3
"7430",8745184,4,63285,403,28987,"Cheque","debit",27420,"01:51:06",2020-07-11,"Completed","2319979",0,"","USA-GA30907","",3
"7431",8470572,4,63285,403,28987,"Cheque","debit",42539,"00:42:39",2020-07-11,"Completed","8615069",0,"","USA-GA30907","",3
"7434",2645557,4,63285,403,28987,"Cheque","debit",33706,"01:42:32",2020-07-11,"Completed","2594819",0,"","USA-GA30907","",3
"7436",7758527,4,63285,403,28987,"Cheque","debit",43437,"03:53:25",2020-07-11,"Completed","5760864",0,"","USA-GA30907","",3
"7437",8586432,4,63285,403,28987,"Cheque","debit",32417,"03:52:45",2020-07-11,"Completed","1787894",0,"","USA-GA30907","",3
"7440",1731041,4,63285,403,28987,"Cheque","debit",41540,"03:36:34",2020-07-11,"Completed","9157184",0,"","USA-GA30907","",3
"7444",5045657,4,63285,403,28987,"Cheque","debit",27407,"01:11:17",2020-07-11,"Completed","2988251",0,"","USA-GA30907","",3
"7445",8311345,4,63285,403,28987,"Cheque","debit",26580,"00:16:19",2020-07-11,"Completed","4301206",0,"","USA-GA30907","",3
"7447",8794448,4,63285,403,28987,"Cheque","debit",27858,"01:36:30",2020-07-11,"Completed","6470829",0,"","USA-GA30907","",3
"7449",1229728,4,63285,403,28987,"Cheque","debit",46985,"03:41:52",2020-07-11,"Completed","1339123",0,"","USA-GA30907","",3
"7450",1976730,4,63285,403,28987,"Cheque","debit",46962,"03:10:49",2020-07-11,"Completed","2548993",0,"","USA-GA30907","",3
"7453",344162,4,63285,403,28987,"Cheque","debit",36390,"00:44:43",2020-07-11,"Completed","2915582",0,"","USA-GA30907","",3
"7454",191192,4,63285,403,28987,"Cheque","debit",28551,"02:02:02",2020-07-11,"Completed","8031727",0,"","USA-GA30907","",3
"7455",3967663,4,63285,403,28987,"Cheque","debit",32763,"03:14:42",2020-07-11,"Completed","8878800",0,"","USA-GA30907","",3
"7458",2808563,4,63285,403,28987,"Cheque","debit",38945,"00:31:46",2020-07-11,"Completed","5492140",0,"","USA-GA30907","",3
"7459",3475359,4,63285,403,28987,"Cheque","debit",48110,"02:44:58",2020-07-11,"Completed","2943557",0,"","USA-GA30907","",3
"7460",9400318,4,63285,403,28987,"Cheque","debit",43887,"00:48:34",2020-07-11,"Completed","9277850",0,"","USA-GA30907","",3
"7461",6912557,4,63285,403,28987,"Cheque","debit",45241,"03:02:01",2020-07-11,"Completed","19665",0,"","USA-GA30907","",3
"7463",1764996,4,63285,403,28987,"Cheque","debit",26810,"01:36:24",2020-07-11,"Completed","9678064",0,"","USA-GA30907","",3
"7469",3924999,4,63285,403,28987,"Cheque","debit",32512,"02:59:06",2020-07-11,"Completed","3624334",0,"","USA-GA30907","",3
"7470",9458825,4,63285,403,28987,"Cheque","debit",32225,"01:06:00",2020-07-11,"Completed","5071800",0,"","USA-GA30907","",3
"7482",1272880,148,40634,511,44935,"Wire","debit",47209,"00:40:53",2020-07-11,"Completed","",4697430,"","USA-GA30907","",3
"7483",3338316,148,40634,511,44935,"Wire","debit",42087,"00:36:30",2020-07-11,"Completed","",1370553,"","USA-GA30907","",3
"7484",4044684,148,40634,511,44935,"Wire","debit",36339,"02:15:04",2020-07-11,"Completed","",7032469,"","USA-GA30907","",3
"7485",5316972,148,40634,511,44935,"Wire","debit",28293,"03:31:39",2020-07-11,"Completed","",2050050,"","USA-GA30907","",3
"7488",9458576,148,40634,511,44935,"Wire","debit",23659,"03:45:26",2020-07-11,"Completed","",3816548,"","USA-GA30907","",3
"7492",9305947,148,40634,511,44935,"Wire","debit",24782,"03:23:41",2020-07-11,"Completed","",9010236,"","USA-GA30907","",3
"7495",4685974,148,40634,511,44935,"Wire","debit",41211,"00:29:41",2020-07-11,"Completed","",9847706,"","USA-GA30907","",3
"7497",3660248,148,40634,511,44935,"Wire","debit",32138,"01:47:01",2020-07-11,"Completed","",972743,"","USA-GA30907","",3
"7498",4728242,148,40634,511,44935,"Wire","debit",33086,"00:52:33",2020-07-11,"Completed","",2725746,"","USA-GA30907","",3
"7499",1031105,148,40634,511,44935,"Wire","debit",29906,"00:58:32",2020-07-11,"Completed","",5505428,"","USA-GA30907","",3
"7500",4421094,148,40634,511,44935,"Wire","debit",38757,"03:49:56",2020-07-11,"Completed","",6841045,"","USA-GA30907","",3
"7501",4051263,148,40634,511,44935,"Wire","debit",37356,"00:35:17",2020-07-11,"Completed","",1273993,"","USA-GA30907","",3
"7502",2336230,148,40634,511,44935,"Wire","debit",22639,"00:24:52",2020-07-11,"Completed","",5860150,"","USA-GA30907","",3
"7506",2240181,148,40634,511,44935,"Wire","debit",31931,"02:20:08",2020-07-11,"Completed","",6652432,"","USA-GA30907","",3
"7510",1426570,148,40634,511,44935,"Wire","debit",43882,"00:45:53",2020-07-11,"Completed","",854555,"","USA-GA30907","",3
"7511",8026397,148,40634,511,44935,"Wire","debit",42952,"03:29:20",2020-07-11,"Completed","",708724,"","USA-GA30907","",3
"7512",457578,148,40634,511,44935,"Wire","debit",33212,"01:25:32",2020-07-11,"Completed","",8837113,"","USA-GA30907","",3
"7514",6930735,148,40634,511,44935,"Wire","debit",38753,"03:03:43",2020-07-11,"Completed","",8141804,"","USA-GA30907","",3
"7515",8053197,148,40634,511,44935,"Wire","debit",32320,"02:58:07",2020-07-11,"Completed","",5775851,"","USA-GA30907","",3
"7516",6964687,148,40634,511,44935,"Wire","debit",31888,"01:33:17",2020-07-11,"Completed","",3876252,"","USA-GA30907","",3
"7520",4115402,148,40634,511,44935,"Wire","debit",43456,"00:35:02",2020-07-11,"Completed","",1876281,"","USA-GA30907","",3
